station_name,station_city,station_geopos,station_capacity,station_id
University Drive,Dallas,32.74262010765335::-97.34652551570348,30,3080
Northwest 100th Street,Miami,26.75637662542221::-80.06342266803763,22,735
West Park Avenue,Chicago,42.09812550983748::-88.02971635302853,19,676
Park Boulevard Trail,San Francisco,37.70615658223545::-122.4782718901024,22,1180
Bates Place,Los Angeles,34.18868523429532::-118.9388166092417,17,2563
6121-6123 West Belmont Avenue,Chicago,42.00831357756946::-87.74754458516851,36,1659
Boundbrook Avenue,Dallas,33.07988176461195::-96.74535833146146,20,1154
Redoak Place,Los Angeles,34.19242427822979::-118.8758573445584,54,108
Cromwell Crescent,New York,40.6725276013299::-73.72188486439588,7,3364
North 182nd Street,Seattle,47.65091854606428::-122.2979625676115,21,2421
49th Avenue South,Seattle,47.81252530425523::-122.3311639145001,7,3336
109th Avenue,New York,40.67448536423383::-73.85575704435917,14,2262
Northeast 180th Street,Seattle,47.6911088995902::-122.1894038461307,9,1037
South 204th Street,Seattle,47.74800056725664::-122.345143083616,30,564
Lee Street,Chicago,41.83645117687212::-87.5993944016778,47,3739
48-20 70th Street,New York,40.90650293556585::-73.76540705992025,35,270
600 32nd Avenue,San Francisco,37.78648379274915::-122.4399041475183,27,3485
Quincy Lane,Dallas,32.63526545531919::-96.77425296890648,18,2442
Sunnydale Avenue,San Francisco,37.7126811142312::-122.4585820843668,7,1855
1229 57th Street,New York,40.67430720045468::-73.86199946069642,41,3440
Mayacoo Lakes Boulevard,Seattle,47.44504058624592::-122.2968662710836,39,2805
Flatbush Avenue,New York,40.63153131511633::-73.99784300636105,33,2725
2020 West Rascher Avenue,Chicago,42.04947271663931::-87.84798430214333,7,3086
160th Street,New York,40.6390342382271::-73.9520294551329,7,96
1701 North Lorel Avenue,Chicago,41.98750363931392::-87.68945209708485,7,3499
Standish Drive,Dallas,32.87107751014712::-96.62527082532165,23,2642
Valley View Lane,Dallas,32.7225338876008::-97.03502931579325,7,1204
Southwest 3rd Avenue,Seattle,47.39008223425503::-122.2233558740403,2,2104
Alondra Boulevard,Los Angeles,34.03001319905592::-118.0132261604653,28,666
Northwest 75th Terrace,Miami,26.70952673225502::-80.10672833394148,30,1089
Carlton Court,San Francisco,37.78545062545174::-122.4691556152775,7,2934
Ferris Road,Los Angeles,34.24234162682596::-118.4601700474352,3,1835
78th Avenue,New York,40.74032872913852::-73.70258899584408,45,3586
Greenlake Drive,Miami,26.02530795162838::-80.29256470850493,5,235
Rca Boulevard,Miami,26.15850525640801::-80.21384500242208,31,526
Colbath Avenue,Los Angeles,34.35170043471612::-118.7343517588021,19,938
West 26th Street,Miami,26.17272391668644::-80.24647757667877,45,2870
East 5th Street,New York,40.69920648139353::-73.95133190375986,8,2776
Arbor Walk Drive,Miami,25.75371406967929::-80.25595525795279,13,1784
Overhill Avenue,Chicago,41.87781651734106::-87.74462852904966,45,2068
I-20,Dallas,32.98381631997829::-96.63471329487287,20,2618
Perimeter Road,Dallas,33.13995265450112::-96.75646272597234,54,2888
Alaskan Freeway,Seattle,47.76389705490515::-122.1758686109547,7,784
West Ann Lurie Place,Chicago,41.82192308547133::-87.69140150658664,20,3706
Northwest 7th Street,Miami,25.841331219853::-80.25600923766903,24,445
Northwest 18th Avenue,Miami,26.51234433374309::-80.12853563094848,51,2599
Bautista Way,Miami,26.18018536689513::-80.12367636393576,7,3121
Homestead Place,Dallas,32.6931736028551::-96.81028962997922,7,1125
North Lake Shore Drive,Chicago,42.00091787748315::-87.69720943096215,7,821
