dataPlatform,schema,dataset,class,field,sourceEntityType,sourceNullable,sourceDataType,ordinalPosition,definedBy,columnSize,pk,idx,pii,classification,nullPercentage,v4
ASSET_DB,public,asset,asset,asset_description,Column,TRUE,text,4,STRING,2147483647,,,,,,
ASSET_DB,public,asset,asset,asset_id,Column,FALSE,text,1,STRING,2147483647,true,true,,,,
ASSET_DB,public,asset,asset,asset_imei,Column,TRUE,text,3,STRING,2147483647,,,true,CREDIT_CARD,,
ASSET_DB,public,asset,asset,asset_registration,Column,TRUE,text,6,STRING,2147483647,,,,,,
ASSET_DB,public,asset,asset,asset_status,Column,TRUE,text,5,STRING,2147483647,,,,,,
ASSET_DB,public,asset,asset,asset_type,Column,TRUE,text,2,STRING,2147483647,,,,,,
ASSET_DB,public,asset_sampling,asset_sampling,asset_id,Column,FALSE,text,3,STRING,2147483647,,,,,,
ASSET_DB,public,asset_sampling,asset_sampling,asset_location_geocoded,Column,TRUE,text,4,STRING,2147483647,,,,,,
ASSET_DB,public,asset_sampling,asset_sampling,asset_location_id,Column,FALSE,text,1,STRING,2147483647,true,true,,,,
ASSET_DB,public,asset_sampling,asset_sampling,asset_location_timestamp,Column,TRUE,text,6,STRING,2147483647,,,,,,
ASSET_DB,public,asset_sampling,asset_sampling,asset_telemetry,Column,TRUE,text,5,STRING,2147483647,,,,,,
ASSET_DB,public,asset_sampling,asset_sampling,transaction_id,Column,TRUE,text,2,STRING,2147483647,,,,,,
ASSET_DB,public,asset_stations,asset_stations,customer_id,Column,TRUE,int8,7,INTEGER,19,,,,,,
ASSET_DB,public,asset_stations,asset_stations,event_type,Column,TRUE,text,6,STRING,2147483647,,,,,,
ASSET_DB,public,asset_stations,asset_stations,station_availability,Column,TRUE,text,4,STRING,2147483647,,,,,,
ASSET_DB,public,asset_stations,asset_stations,station_capacity,Column,TRUE,text,5,STRING,2147483647,,,,,,
ASSET_DB,public,asset_stations,asset_stations,station_city,Column,TRUE,text,2,STRING,2147483647,,,,,,
ASSET_DB,public,asset_stations,asset_stations,station_geopos,Column,TRUE,text,3,STRING,2147483647,,,,,,
ASSET_DB,public,asset_stations,asset_stations,station_id,Column,TRUE,int8,8,INTEGER,19,,,,,,
ASSET_DB,public,asset_stations,asset_stations,station_name,Column,TRUE,text,1,STRING,2147483647,,,true,NAME,,
ASSET_DB,public,asset_transaction,asset_transaction,asset_id,Column,FALSE,text,8,STRING,2147483647,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,duration,Column,TRUE,text,10,STRING,2147483647,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,endlat,Column,TRUE,text,6,STRING,2147483647,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,endlong,Column,TRUE,text,7,STRING,2147483647,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,startlat,Column,TRUE,text,3,STRING,2147483647,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,startlong,Column,TRUE,text,4,STRING,2147483647,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,subscriber_id,Column,TRUE,text,9,STRING,2147483647,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,transaction_end,Column,TRUE,timestamptz,5,DATETIME,35,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,transaction_id,Column,FALSE,text,1,STRING,2147483647,true,true,,,,
ASSET_DB,public,asset_transaction,asset_transaction,transaction_start,Column,TRUE,timestamptz,2,DATETIME,35,,,,,,
ASSET_DB,public,asset_transaction,asset_transaction,transactionaddress,Column,TRUE,text,12,STRING,2147483647,,,true,ADDRESS,,
ASSET_DB,public,asset_transaction,asset_transaction,transactioncity,Column,TRUE,text,11,STRING,2147483647,,,,,,
ASSET_DB,public,asset_type,asset_type,asset_type_id,Column,FALSE,text,1,STRING,2147483647,true,true,,,,
ASSET_DB,public,asset_type,asset_type,brand,Column,TRUE,text,5,STRING,2147483647,,,,,,
ASSET_DB,public,asset_type,asset_type,enginesize,Column,TRUE,text,3,STRING,2147483647,,,,,,
ASSET_DB,public,asset_type,asset_type,max_speed,Column,TRUE,text,4,STRING,2147483647,,,,,,
ASSET_DB,public,asset_type,asset_type,model,Column,TRUE,text,6,STRING,2147483647,,,,,,
ASSET_DB,public,asset_type,asset_type,price,Column,TRUE,text,7,STRING,2147483647,,,,,,
ASSET_DB,public,asset_type,asset_type,type,Column,FALSE,text,2,STRING,2147483647,,,,,,
ASSET_DB,public,uscities_geopoints,uscities_geopoints,city,Column,FALSE,text,1,STRING,2147483647,,,true,CITY,,
ASSET_DB,public,uscities_geopoints,uscities_geopoints,citypointlat,Column,FALSE,text,2,STRING,2147483647,,,true,CITY,,
ASSET_DB,public,uscities_geopoints,uscities_geopoints,citypointlong,Column,FALSE,text,3,STRING,2147483647,,,true,CITY,,
BILLING_DB,public,balance,balance,available_amount,Column,TRUE,int8,4,INTEGER,19,,,,,,
BILLING_DB,public,balance,balance,balance_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
BILLING_DB,public,balance,balance,balance_ref_id,Column,TRUE,int8,3,INTEGER,19,,,,,,
BILLING_DB,public,balance,balance,reset_amount,Column,TRUE,int8,5,INTEGER,19,,,,,,
BILLING_DB,public,balance,balance,reset_date,Column,TRUE,timestamp,6,DATETIME,29,,,,,,
BILLING_DB,public,balance,balance,subscriber_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
BILLING_DB,public,invoice,invoice,balance,Column,TRUE,int8,6,INTEGER,19,,,,,,
BILLING_DB,public,invoice,invoice,due_date,Column,TRUE,timestamp,4,DATETIME,29,,,,,,
BILLING_DB,public,invoice,invoice,invoice_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
BILLING_DB,public,invoice,invoice,invoice_image,Column,TRUE,bytea,7,BYTES,2147483647,,,true,STATEMENT,,
BILLING_DB,public,invoice,invoice,issued_date,Column,TRUE,timestamp,3,DATETIME,29,,,,,,
BILLING_DB,public,invoice,invoice,status,Column,TRUE,varchar,5,STRING,2000,,,,,,
BILLING_DB,public,invoice,invoice,subscriber_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
BILLING_DB,public,payment,payment,amount,Column,TRUE,varchar,5,STRING,200,,,,,,
BILLING_DB,public,payment,payment,invoice_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
BILLING_DB,public,payment,payment,issued_date,Column,TRUE,timestamp,3,DATETIME,29,,,,,,
BILLING_DB,public,payment,payment,payment_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
BILLING_DB,public,payment,payment,status,Column,TRUE,varchar,4,STRING,200,,,,,,
BILLING_DB,public,subscriber,subscriber,subscriber_id,Column,FALSE,int8,1,INTEGER,19,true,true,,,,
BILLING_DB,public,subscriber,subscriber,subscriber_type,Column,TRUE,varchar,2,STRING,200,,,,,,
BILLING_DB,public,subscriber,subscriber,vip_status,Column,TRUE,varchar,3,STRING,200,,,,,,
CRM_DB,public,activity,activity,activity_date,Column,TRUE,timestamp,3,DATETIME,29,,,,,,
CRM_DB,public,activity,activity,activity_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
CRM_DB,public,activity,activity,activity_note,Column,TRUE,varchar,4,STRING,2000,,,true,NOTES,,
CRM_DB,public,activity,activity,customer_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
CRM_DB,public,address,address,address_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
CRM_DB,public,address,address,city,Column,TRUE,varchar,5,STRING,200,,,true,CITY,,
CRM_DB,public,address,address,country,Column,TRUE,varchar,8,STRING,200,,,true,COUNTRY,,
CRM_DB,public,address,address,customer_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
CRM_DB,public,address,address,state,Column,TRUE,varchar,7,STRING,200,,,true,STATE,,
CRM_DB,public,address,address,street_address_1,Column,TRUE,varchar,3,STRING,200,,,true,ADDRESS,,
CRM_DB,public,address,address,street_address_2,Column,TRUE,varchar,4,STRING,200,,,true,ADDRESS,1.0,
CRM_DB,public,address,address,zip,Column,TRUE,varchar,6,STRING,200,,,true,POSTAL_CODE,,
CRM_DB,public,case_note,case_note,case_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
CRM_DB,public,case_note,case_note,note_date,Column,TRUE,timestamp,3,DATETIME,29,,,,,,
CRM_DB,public,case_note,case_note,note_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
CRM_DB,public,case_note,case_note,note_text,Column,TRUE,varchar,4,STRING,3000,,,true,NOTES,,
CRM_DB,public,cases,cases,activity_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
CRM_DB,public,cases,cases,case_date,Column,TRUE,timestamp,3,DATETIME,29,,,,,,
CRM_DB,public,cases,cases,case_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
CRM_DB,public,cases,cases,case_type,Column,TRUE,varchar,4,STRING,200,,,,,,
CRM_DB,public,cases,cases,status,Column,TRUE,varchar,5,STRING,200,,,,,,
CRM_DB,public,contract,contract,associated_line,Column,TRUE,varchar,4,STRING,200,,,true,TELEPHONE_NUMBER,,
CRM_DB,public,contract,contract,contract_description,Column,TRUE,varchar,5,STRING,200,,,,,,
CRM_DB,public,contract,contract,contract_id,Column,FALSE,int8,2,INTEGER,19,true,true,,,,
CRM_DB,public,contract,contract,contract_ref_id,Column,TRUE,int8,3,INTEGER,19,,,,,,
CRM_DB,public,contract,contract,customer_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
CRM_DB,public,contract,contract,from_date,Column,TRUE,timestamp,6,DATETIME,29,,,,,,
CRM_DB,public,contract,contract,to_date,Column,TRUE,timestamp,7,DATETIME,29,,,,,,
CRM_DB,public,customer,customer,additional_phone,Column,TRUE,varchar,7,STRING,30,,,true,TELEPHONE_NUMBER,,
CRM_DB,public,customer,customer,customer_id,Column,FALSE,int8,1,INTEGER,19,true,true,,,,
CRM_DB,public,customer,customer,email,Column,TRUE,varchar,5,STRING,200,,,true,EMAIL,,
CRM_DB,public,customer,customer,first_name,Column,TRUE,varchar,3,STRING,200,,,true,FIRST_NAME,,
CRM_DB,public,customer,customer,id_number,Column,TRUE,varchar,2,STRING,20,,,true,TELEPHONE_NUMBER,,
CRM_DB,public,customer,customer,last_name,Column,TRUE,varchar,4,STRING,200,,,true,LAST_NAME,,
CRM_DB,public,customer,customer,occupation,Column,TRUE,text,11,STRING,2147483647,,,true,OCCUPATION,,
CRM_DB,public,customer,customer,picture,Column,TRUE,text,12,STRING,2147483647,,,true,PHOTOGRAPHS,,
CRM_DB,public,customer,customer,primary_phone,Column,TRUE,varchar,6,STRING,30,,,true,TELEPHONE_NUMBER,,
CRM_DB,public,customer,customer,social_net_fb,Column,TRUE,text,8,STRING,2147483647,,,true,SOCIAL_MEDIA,,
CRM_DB,public,customer,customer,social_net_lnk,Column,TRUE,text,10,STRING,2147483647,,,true,SOCIAL_MEDIA,,
CRM_DB,public,customer,customer,social_net_tw,Column,TRUE,text,9,STRING,2147483647,,,true,SOCIAL_MEDIA,,
CRM_DB,public,payment_methods,payment_methods,account_number,Column,TRUE,text,4,STRING,2147483647,,,true,ACCOUNT_NUMBER,,
CRM_DB,public,payment_methods,payment_methods,cc_company,Column,TRUE,text,3,STRING,2147483647,,,true,BUSINESS_NAME,,
CRM_DB,public,payment_methods,payment_methods,credit_card_number,Column,TRUE,text,2,STRING,2147483647,,,true,CREDIT_CARD,,
CRM_DB,public,payment_methods,payment_methods,customer_id,Column,FALSE,int8,1,INTEGER,19,,,,,,
CRM_DB,public,payment_methods,payment_methods,paypal_id,Column,TRUE,text,5,STRING,2147483647,,,true,ACCOUNT_NAME,,
CRM_DB,public,recommendations,recommendations,customer_id,Column,TRUE,int8,7,INTEGER,19,,,,,,
CRM_DB,public,recommendations,recommendations,event_type,Column,TRUE,text,6,STRING,2147483647,,,,,,
CRM_DB,public,recommendations,recommendations,station_availability,Column,TRUE,text,4,STRING,2147483647,,,,,,
CRM_DB,public,recommendations,recommendations,station_capacity,Column,TRUE,text,5,STRING,2147483647,,,,,,
CRM_DB,public,recommendations,recommendations,station_city,Column,TRUE,text,2,STRING,2147483647,,,,,,
CRM_DB,public,recommendations,recommendations,station_geopos,Column,TRUE,text,3,STRING,2147483647,,,,,,
CRM_DB,public,recommendations,recommendations,station_id,Column,TRUE,int8,8,INTEGER,19,,,,,,
CRM_DB,public,recommendations,recommendations,station_name,Column,TRUE,text,1,STRING,2147483647,,,true,NAME,,
CRM_DB,public,score,score,customer_id,Column,TRUE,int8,1,INTEGER,19,,,,,,
CRM_DB,public,score,score,score_date,Column,TRUE,text,2,STRING,2147483647,,,,,,
CRM_DB,public,score,score,score_type,Column,TRUE,text,3,STRING,2147483647,,,,,,
CRM_DB,public,score,score,score_value,Column,TRUE,text,4,STRING,2147483647,,,,,,
